<b>Absurd</b> - (ridiculous, senseless, foolish)
<b>Masculine</b> - (male, manly, virile)
<b>Meek</b> - (shy, mild, timid)
<b>Melodramatic</b> - (theatrical, sensational, showy)
<b>Mischievous</b> - (naughty, prankish, sly)
<b>Miserable</b> - (wretched, pitiful, forlorn)
<b>Misunderstood</b> - (not grasped, not learned, not absorbed)
<b>Mysterious</b> - (secretive, puzzling, strange)
<b>Mystical</b> - (spiritual, secretive, esoteric)
<b>Naive</b> - (unsophisticated, childlike, simple)
<b>Nasty</b> - (mean, inclement, offensive)
<b>Natural</b> - (pure, simple, unadorned)
<b>Neat</b> - (tidy, orderly, cool)
<b>Neglected</b> - (ignored, disregarded, rejected)
<b>Nerdy</b> - (unhip, uncool, dorky)
<b>Normal</b> - (usual, common, ordinary)
<b>Obnoxious</b> - (offensive, repulsive, annoying)
<b>Odd</b> - (different, eccentric, bizarre)
<b>Offensive</b> - (insulting, vulgar, attacking)
<b>Ordinary</b> - (usual, common, plain)
<b>Organic</b> - (natural, clean, biological)
<b>Outrageous</b> - (shocking, scandalous, disgraceful)
<b>Overwhelming</b> - (exhaustive, breathtaking, monumental)
<b>Painful</b> - (hurtful, agonizing, unbearable)
<b>Pathetic</b> - (pitiful, distressing, heart-rending)
<b>Patriotic</b> - (nationalistic, loyal, public-spirited)
<b>Peaceful</b> - (serene, restful, calm)
<b>Perfect</b> - (faultless, consummate, exact)
<b>Philosophical</b> - (thoughtful, contemplative, wise)
<b>Phony</b> - (false, artificial, imitation)
<b>Playful</b> - (fun, frisky, entertaining)
<b>Popular</b> - (well-liked, accepted, preferred)
<b>Powerful</b> - (strong, forceful, robust)
<b>Primitive</b> - (prehistoric, primal, uncivilized)
<b>Principled</b> - (conscientious, ethical, scrupulous)
<b>Profound</b> - (deep, wise, thoughtful)
<b>Puffy</b> - (swollen, billowy, bloated)
<b>Pure</b> - (innocent, unadulterated, chaste)
<b>Quiet</b> - (peaceful, silent, calm)
<b>Radiant</b> - (shining, glowing, sparkling)
<b>Radical</b> - (unconventional, revolutionary, extreme)
<b>Rare</b> - (scarce, unusual, half-cooked)
<b>Realistic</b> - (authentic, lifelike, reasonable)
<b>Refined</b> - (well-bred, purified, cultivated)
<b>Refreshing</b> - (brisk, invigorating, rejuvenating)
<b>Relaxing</b> - (restful, calming, peaceful)
<b>Repulsive</b> - (disgusting, offensive, foul)
<b>Responsible</b> - (accountable, obligated, mature)
<b>Revolutionary</b> - (innovative, rebellious, radical)
<b>Rich</b> - (wealthy, affluent, moneyed)
<b>Ridiculous</b> - (preposterous, absurd, ludicrous)
<b>Risky</b> - (hazardous, daring, speculative)
<b>Rough</b> - (scratchy, uneven, jagged)
<b>Saintly</b> - (virtuous, angelic, divine)
<b>Sappy</b> - (gooey, mushy, romantic)
<b>Scary</b> - (frightening, absurd, ugly)
<b>Scenic</b> - (picturesque, dramatic, panoramic)
<b>Selfish</b> - (stingy, greedy, miserly)
<b>Senseless</b> - (meaningless, absurd, foolish)
<b>Sensitive</b> - (susceptible, sympathetic, tender)
<b>Sensual</b> - (tactile, pleasing, sexual)
<b>Sexy</b> - (arousing, appealing, seductive)
<b>Shallow</b> - (superficial, trivial, not deep)
<b>Sharp</b> - (pointed, keen, acute)
<b>Shiny</b> - (reflective, gleaming, polished)
<b>Shocking</b> - (frightening, electrifying, startling)
<b>Shy</b> - (bashful, timid, cautious)
<b>Silly</b> - (goofy, absurd, nonsensical)
<b>Smart</b> - (intelligent, stylish, witty)
<b>Smelly</b> - (stinky, odorous, rank)
<b>Smooth</b> - (even, level, flat)
<b>Snappy</b> - (stylish, trendy, fast)
<b>Soft</b> - (malleable, pliable, mushy)
<b>Speedy</b> - (quick, rapid, fast)
<b>Spicy</b> - (flavorable, tangy, hot)
<b>Spiritual</b> - (religious, inspired, supernatural)
<b>Spooky</b> - (scary, weird, ghostly)
<b>Spunky</b> - (perky, lively, spirited)
<b>Squeaky Clean</b> - (pure, immaculate, unapproachable)
<b>Stereotyped</b> - (pigeonholed, caricatured, characterized)
<b>Stunning</b> - (astonishing, staggering, astounding)
<b>Sultry</b> - (sweltering, humid, sensual)
<b>Sweet</b> - (sugary, caring, good)
<b>Swift</b> - (quick, speedy, expeditious)
<b>Talented</b> - (gifted, clever, skillful)
<b>Tame</b> - (subdued, gentle, trained)
<b>Technological</b> - (scientific, futuristic, mechanical)
<b>Temperamental</b> - (moody, irritable, short-tempered)
<b>Timeless</b> - (classic, ageless, well-established)
<b>Touchy-Feely</b> - (affectionate, tactile, huggy)
<b>Tough</b> - (strong, firm, difficult)
<b>Trustworthy</b> - (honest, reliable, unfailing)
<b>Twisted</b> - (distorted, warped, perverted)
<b>Unbelievable</b> - (incredible, far-fetched, impossible)
<b>Unforgettable</b> - (notable, impressive, remarkable)
<b>Unhealthy</b> - (risky, sickly, dangerous)
<b>Unnatural</b> - (abnormal, artificial, bizarre)
<b>Unreal</b> - (imaginary, illusionary, unbelievable)
<b>Unscrupulous</b> - (unethical, corrupt, unprincipled)
<b>Unusual</b> - (rare, odd, uncommon)
<b>Useless</b> - (worthless, ineffective, unneeded)
<b>Violent</b> - (furious, vicious, destructive)
<b>Virtuous</b> - (worthy, righteous, chaste)
<b>Visionary</b> - (idealistic, prophetic, far-seeing)
<b>Weird</b> - (abnormal, peculiar, odd)
<b>Wicked</b> - (evil, corrupt, depraved)
<b>Wild</b> - (untamed, savage, ferocious)
<b>Witty</b> - (clever, humorous, cunning)
<b>Woebegone</b> - (dismal, sorrowful, bummed out)
<b>Worldly</b> - (experienced, sophisticated, materialistic)
<b>Zany</b> - (crazy, funny, wacky)
